Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,3,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
3,2,4,13,6,ACCELERATING,false,0,1,0,0,0,,,0,0,-3
4,2,4,21,6,HIT_MUD,false,0,2,0,0,0,,,1,0,-2
5,2,4,29,8,ACCELERATING,false,0,2,0,0,0,,,1,0,-2
6,2,4,37,8,ACCELERATING,false,0,2,0,0,0,,,1,0,-2
7,2,4,45,0,HIT_MUD,false,0,5,0,0,0,,,1,0,-14
8,2,4,45,0,FIXED_CAR,false,0,3,0,0,0,,,1,0,-14
9,2,4,48,3,ACCELERATING,false,0,3,0,0,0,,,1,0,-14
10,2,4,54,6,ACCELERATING,false,0,3,0,0,0,,,1,0,-14
11,2,4,60,0,HIT_WALL,false,0,5,0,0,0,,,1,1,-15
12,2,4,60,0,FIXED_CAR,false,0,3,0,0,0,,,1,1,-15
13,2,4,63,3,ACCELERATING,false,0,3,0,0,0,,,1,1,-15
14,2,4,69,6,ACCELERATING,false,0,3,0,0,0,,,1,1,-15
15,2,4,75,3,HIT_MUD,false,0,4,0,0,0,,,2,1,-14
16,2,4,78,3,ACCELERATING,false,0,4,0,1,0,,,2,1,-10
17,2,4,81,3,ACCELERATING,false,0,4,0,1,0,,,2,1,-10
18,2,4,84,3,ACCELERATING,false,0,4,0,1,0,,,2,1,-10
19,2,4,87,3,ACCELERATING,false,0,4,0,1,0,,,2,1,-10
20,2,4,90,3,ACCELERATING,false,0,4,0,1,0,,,2,1,-10
21,2,4,93,0,HIT_MUD,false,0,5,0,1,0,,,2,1,-13
22,2,4,93,0,FIXED_CAR,false,0,3,0,1,0,,,2,1,-13
23,2,4,96,3,ACCELERATING,false,0,3,0,1,0,,,2,1,-13
24,2,4,102,6,ACCELERATING,false,0,3,0,2,0,,,2,1,-9
25,2,4,108,6,ACCELERATING,false,0,3,0,2,0,,,2,1,-9
26,2,4,114,6,ACCELERATING,false,0,3,0,2,0,,,2,1,-9
27,2,4,120,6,ACCELERATING,false,0,3,0,2,0,,,2,1,-9
28,2,4,126,6,ACCELERATING,false,0,3,0,2,0,,,2,1,-9
29,2,4,132,3,HIT_MUD,false,0,4,0,2,1,,,2,1,-8
30,2,4,135,3,ACCELERATING,false,0,4,0,2,1,,,2,2,-4
31,2,4,138,3,ACCELERATING,false,0,4,0,2,1,,,2,2,-4
32,2,4,141,3,ACCELERATING,false,0,4,0,2,1,,,2,2,-4
33,2,4,144,3,ACCELERATING,false,0,4,0,2,1,,,2,2,-4
34,2,4,147,3,ACCELERATING,false,0,4,0,2,1,,,2,2,-4
35,2,4,150,3,ACCELERATING,false,0,4,0,2,1,,,2,2,-4
36,2,4,153,3,ACCELERATING,false,0,4,0,2,1,,,2,2,-4
37,2,4,156,3,ACCELERATING,false,0,4,0,2,2,,,2,2,0
38,2,4,159,0,HIT_MUD,false,0,5,0,2,2,,,2,2,-3
39,2,4,159,0,FIXED_CAR,false,0,3,0,2,2,,,2,2,-3
40,2,4,162,3,ACCELERATING,false,0,3,0,2,2,,,2,2,-3
41,2,4,168,6,ACCELERATING,false,0,3,0,2,2,,,4,2,5
42,2,4,174,6,USED_LIZARD,false,0,3,0,2,1,,,4,2,5
43,2,4,180,6,ACCELERATING,false,0,3,0,2,1,,,4,2,5
44,2,4,186,6,ACCELERATING,false,0,3,0,2,1,,,4,2,5
45,2,4,192,6,ACCELERATING,false,0,3,0,2,1,,,4,2,5
46,2,4,198,6,USED_LIZARD,false,0,3,0,2,0,,,4,2,5
47,2,4,204,6,ACCELERATING,false,0,3,0,2,0,,,4,2,5
48,2,4,210,0,HIT_WALL,false,0,5,0,2,0,,,4,2,-3
49,2,4,210,0,FIXED_CAR,false,0,3,0,2,0,,,4,2,-3
50,2,4,213,3,ACCELERATING,false,0,3,0,2,0,,,4,2,-3
51,2,4,219,6,ACCELERATING,false,0,3,0,2,0,,,4,2,-3
52,2,4,225,6,ACCELERATING,false,0,3,0,3,0,,,4,2,1
53,2,4,231,0,HIT_WALL,false,0,5,0,3,0,,,4,2,-7
54,2,4,231,0,FIXED_CAR,false,0,3,0,3,0,,,4,2,-7
55,2,4,234,3,ACCELERATING,false,0,3,0,3,0,,,4,2,-7
56,2,4,240,6,ACCELERATING,false,0,3,0,3,0,,,4,2,-7
57,2,4,246,6,ACCELERATING,false,0,3,0,3,0,,,4,2,-7
58,2,4,252,6,ACCELERATING,false,0,3,0,3,0,,,4,2,-7
59,2,4,258,6,ACCELERATING,false,0,3,0,3,0,,,4,3,-3
60,2,4,264,6,ACCELERATING,false,0,3,1,3,0,,,4,3,1
61,2,4,270,6,USED_BOOST,true,5,3,0,3,0,,,4,3,5
62,2,4,276,6,ACCELERATING,true,4,3,0,3,0,,,4,3,5
63,2,4,282,6,ACCELERATING,true,3,3,0,3,0,,,4,3,5
64,2,4,288,0,HIT_MUD,false,0,5,0,3,0,,,4,3,-1
65,2,4,288,0,FIXED_CAR,false,0,3,0,3,0,,,4,3,-1
66,2,4,291,0,HIT_WALL,false,0,5,0,3,0,,,4,3,-6
67,2,4,291,0,FIXED_CAR,false,0,3,0,3,0,,,4,3,-6
68,2,4,294,3,ACCELERATING,false,0,3,0,3,0,,,4,3,-6
69,2,4,300,6,ACCELERATING,false,0,3,0,3,0,,,4,3,-6
70,2,4,306,6,ACCELERATING,false,0,3,0,3,0,,,4,4,-2
71,2,4,312,0,HIT_MUD,false,0,5,0,4,0,,,4,4,-4
72,2,4,312,0,FIXED_CAR,false,0,3,0,4,0,,,4,4,-4
73,2,4,315,0,HIT_MUD,false,0,5,0,4,0,,,4,5,-6
74,2,4,315,0,FIXED_CAR,false,0,3,0,4,0,,,4,5,-6
75,2,4,318,3,ACCELERATING,false,0,3,0,4,0,,,4,5,-6
76,2,4,324,6,ACCELERATING,false,0,3,1,4,0,,,4,5,-2
77,2,4,330,3,HIT_MUD,false,0,4,0,4,0,,,4,5,-1
78,2,4,333,3,ACCELERATING,false,0,4,0,4,0,,,4,5,-1
79,2,4,336,0,HIT_MUD,false,0,5,0,4,0,,,4,5,-4
80,2,4,336,0,FIXED_CAR,false,0,3,0,4,0,,,4,5,-4
81,2,4,339,0,HIT_WALL,false,0,5,0,4,0,,,4,5,-12
82,2,4,339,0,FIXED_CAR,false,0,3,0,4,0,,,4,5,-12
83,2,4,342,3,HIT_MUD,false,0,4,0,4,0,,,4,5,-15
84,2,4,345,3,ACCELERATING,false,0,4,0,4,0,,,4,5,-15
85,2,4,348,3,ACCELERATING,false,0,4,0,4,0,,,4,5,-15
86,2,4,351,3,ACCELERATING,false,0,4,0,4,0,,,4,5,-15
87,2,4,354,3,ACCELERATING,false,0,4,0,4,0,,,4,5,-15
88,2,4,357,3,ACCELERATING,false,0,4,0,4,0,,,4,5,-15
89,2,4,360,3,ACCELERATING,false,0,4,0,4,0,,,5,5,-11
90,2,4,363,3,ACCELERATING,false,0,4,0,4,0,,,5,5,-11
91,2,4,366,3,ACCELERATING,false,0,4,0,4,0,,,5,5,-11
92,2,4,369,3,ACCELERATING,false,0,4,0,4,0,,,5,5,-11
93,2,4,372,0,HIT_MUD,false,0,5,0,4,0,,,5,5,-14
94,2,4,372,0,FIXED_CAR,false,0,3,0,4,0,,,5,5,-14
95,2,4,375,3,ACCELERATING,false,0,3,0,4,0,,,5,5,-14
96,2,4,381,6,ACCELERATING,false,0,3,0,4,0,,,5,5,-14
97,2,4,387,6,ACCELERATING,false,0,3,0,4,0,,,5,6,-10
98,2,4,393,6,ACCELERATING,false,0,3,0,4,0,,,6,6,-6
99,2,4,399,3,HIT_MUD,false,0,4,0,4,0,,,6,6,-9
100,2,4,402,0,HIT_MUD,false,0,5,0,4,0,,,6,6,-12
101,2,4,402,0,FIXED_CAR,false,0,3,0,4,0,,,6,6,-12
102,2,4,405,3,ACCELERATING,false,0,3,0,4,0,,,6,6,-12
103,2,4,411,6,ACCELERATING,false,0,3,0,4,0,,,6,6,-12
104,2,4,417,6,ACCELERATING,false,0,3,0,4,0,,,6,6,-12
105,2,4,423,6,ACCELERATING,false,0,3,0,4,0,,,6,6,-12
106,2,4,429,6,ACCELERATING,false,0,3,0,4,0,,,6,7,-8
107,2,4,435,6,ACCELERATING,false,0,3,0,4,0,,,6,7,-8
108,2,4,441,6,ACCELERATING,false,0,3,0,4,0,,,6,8,-4
109,2,4,447,6,ACCELERATING,false,0,3,0,4,0,,,6,8,-4
110,2,4,453,6,ACCELERATING,false,0,3,0,4,0,,,6,8,-4
111,2,4,459,6,ACCELERATING,false,0,3,0,4,0,,,6,8,-4
